project_name,total_points,programming_background,pre_skills,Concept (Total),File Structure (Total),Project Description (Total),Approach (Total),Code (Total),Style (Total),Documentation (Total),Tests (Total),Fudge Points,Extra Credit,Total Score,instructor,quarter,lines_code,num_imports,imports,lines_comments,num_comments_words,num_functions,num_classes,num_tests,num_asserts,num_logic,num_loops,project_quarter
SP21_C00_028,87.97,"Java, Javascript, C/C++",Write and debug small Python programs,5.0,5.0,10.0,20.0,26.0,8.0,5.0,8.5,,,88.5,Bardolph,SP21,118,13,"['requests', 'time', 'datetime', 'numpy', 'math', 'classes', 'requests', 'time', 'datetime', 'numpy', 'math', 'IPython.display', 'functions']",124,469,9,1,6,8,5,0,SP21
SP21_C00_029,91.02,I've never programmed before!,None of these,5.0,5.0,9.0,15.0,28.0,8.5,7.0,6.0,,,83.5,Bardolph,SP21,80,2,"['sys', 'my_module.functions']",23,160,7,0,7,7,6,0,SP21
SP21_C00_030,87.62,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,22.0,10.0,10.0,7.0,,,88.5,Bardolph,SP21,30,3,"['time', 'sys', 'my_module.functions']",41,268,3,0,3,4,2,2,SP21
SP21_C00_031,90.02,"Python, Java, R","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs, Execute Python programs on your local computer, using notebooks and the command line, Describe and implement best practices in Python, keeping in mind that programming is done by and for humans",5.0,3.0,0.0,20.0,24.0,10.0,3.0,0.0,,,65.0,Bardolph,SP21,55,7,"['pandas', 'pandas', 'matplotlib', 'seaborn', 'analysis', 'sys', 'my_module.functions']",19,154,8,0,2,2,1,0,SP21
SP21_C00_032,99.99,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,9.0,,,100.0,Bardolph,SP21,110,1,['random'],40,384,3,0,3,10,5,3,SP21
SP21_C00_033,97.64,I've never programmed before!,"Execute Python programs on your local computer, using notebooks and the command line",5.0,5.0,10.0,20.0,29.0,9.0,10.0,9.5,,,97.5,Bardolph,SP21,233,5,"['string', 'random', 'my_module.responses', 'sys', 'my_module.functions']",184,997,15,0,14,32,36,6,SP21
SP21_C00_034,77.5,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,29.0,9.5,3.0,8.5,,,88.0,Bardolph,SP21,66,5,"['string', 'random', 'time', 'sys', 'my_module.functions']",9,55,8,0,10,31,7,1,SP21
SP21_C00_035,66.42,"I've never programmed before!, Python",Write and debug small Python programs,,,,,,,,,,,0.0,Bardolph,SP21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_C00_036,86.64,I've never programmed before!,Solve basic problems using programmatic solutions,5.0,4.0,10.0,15.0,30.0,6.0,3.0,2.5,,,75.5,Bardolph,SP21,21,2,"['sys', 'my_module.functions']",23,225,3,1,2,2,2,1,SP21
SP21_C00_037,78.82,I've never programmed before!,None of these,5.0,4.0,10.0,15.0,30.0,10.0,3.0,6.0,,,83.0,Bardolph,SP21,93,2,"['sys', 'my_module.functions']",11,88,4,1,3,3,3,0,SP21
SP21_C00_038,95.87,I've never programmed before!,None of these,5.0,5.0,10.0,19.0,30.0,9.5,10.0,8.5,,,98.0,Bardolph,SP21,83,0,[],168,1175,5,0,3,3,29,3,SP21
SP21_C00_039,78.35,,,5.0,4.0,10.0,20.0,30.0,10.0,3.0,3.0,,,85.0,Bardolph,SP21,58,2,"['sys', 'my_module.functions']",31,294,3,0,2,3,1,4,SP21
SP21_C00_040,98.65,"Python, R","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs",5.0,4.0,10.0,20.0,30.0,10.0,10.0,10.0,,,100.0,Bardolph,SP21,37,2,"['pandas', 'sys']",39,211,3,0,6,18,0,0,SP21
SP21_C00_041,81.56,,,5.0,5.0,10.0,18.0,30.0,8.0,10.0,9.0,,,95.0,Bardolph,SP21,112,3,"['random', 'sys', 'my_module.functions']",130,661,9,0,3,4,8,0,SP21
SP21_C00_042,93.95,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,9.0,,,99.0,Bardolph,SP21,48,2,"['sys', 'my_module.functions']",52,298,5,1,4,9,3,1,SP21
SP21_C00_043,88.14,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,29.0,9.0,10.0,8.0,,,96.0,Bardolph,SP21,37,3,"['sys', 'my_module.functions', 'my_module.classes']",44,204,4,1,2,6,3,1,SP21
SP21_C00_044,99.61,I've never programmed before!,None of these,5.0,5.0,10.0,19.0,30.0,10.0,10.0,10.0,,,103.0,Bardolph,SP21,114,6,"['random', 'time', 'numpy', 'enchant', 'sys', 'my_module.functions']",105,418,7,0,4,16,9,4,SP21
SP21_C00_045,88.16,,,4.0,3.0,9.0,18.0,25.0,7.0,3.0,0.0,,,69.0,Bardolph,SP21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_C00_046,93.66,I've never programmed before!,"Solve basic problems using programmatic solutions, Write and debug small Python programs",5.0,5.0,10.0,18.0,28.0,9.5,3.0,9.0,,,87.5,Bardolph,SP21,105,3,"['random', 'sys', 'my_module.functions']",9,57,5,0,3,8,1,0,SP21
SP21_C00_047,72.62,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,30.0,10.0,10.0,8.0,,,97.5,Bardolph,SP21,91,4,"['TestCodeScript', 'random', 'random', 'random']",144,642,13,0,0,0,6,0,SP21
SP21_C00_048,94.27,I've never programmed before!,None of these,4.0,5.0,10.0,17.0,30.0,10.0,10.0,10.0,,,96.0,Bardolph,SP21,49,2,"['sys', 'my_module.functions']",41,215,3,0,3,7,2,2,SP21
SP21_C00_049,85.78,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,25.0,10.0,9.0,6.0,,,88.0,Bardolph,SP21,43,3,"['random', 'sys', 'my_module.functions']",70,511,4,1,3,7,2,1,SP21
SP21_C00_050,81.76,I've never programmed before!,"Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions",5.0,4.0,5.0,19.0,23.0,9.0,3.0,0.0,,,68.0,Bardolph,SP21,107,2,"['sys', 'functions']",26,192,14,0,2,2,10,0,SP21
SP21_C00_051,94.19,I've done a little coding in shell for my microbiology lab,None of these,5.0,5.0,10.0,17.0,30.0,8.5,10.0,8.5,,,94.0,Bardolph,SP21,57,0,[],12,102,3,0,3,3,12,1,SP21
SP21_C00_052,100.97,R,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,101.0,Bardolph,SP21,61,4,"['numpy', 'pandas', 'sys', 'my_module.functions']",112,729,6,0,6,23,4,3,SP21
SP21_C00_053,97.55,"I've never programmed before!, Python",None of these,5.0,4.5,10.0,20.0,28.0,9.0,10.0,7.5,,,95.0,Bardolph,SP21,86,3,"['time', 'sys', 'my_module.functions']",68,324,5,0,5,5,14,2,SP21
SP21_C00_054,93.72,I've never programmed before!,None of these,5.0,3.0,8.0,20.0,30.0,8.5,10.0,6.0,,,90.5,Bardolph,SP21,56,2,"['sys', 'my_module.functions']",33,179,4,1,3,8,2,0,SP21
SP21_C00_055,85.31,"Python, Java, Javascript","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs, Execute Python programs on your local computer, using notebooks and the command line, Describe and implement best practices in Python, keeping in mind that programming is done by and for humans",5.0,4.0,7.0,15.0,17.5,8.0,9.0,0.0,,,65.5,Bardolph,SP21,14,2,"['sys', 'my_module.functions']",9,55,3,1,2,2,0,0,SP21
SP21_C00_056,56.49,I've never programmed before!,None of these,0.0,3.5,2.5,0.0,3.0,3.0,0.0,0.0,,,12.0,Bardolph,SP21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_C00_057,100.18,Java,"Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions",5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,104.0,Bardolph,SP21,53,6,"['cv2', 'pyzbar.pyzbar', 'time', 'webbrowser', 'sys', 'my_module.functions']",64,450,5,1,3,5,5,1,SP21
SP21_C00_057,100.18,Java,"Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions",5.0,5.0,10.0,20.0,28.0,10.0,10.0,10.0,,,102.0,Bardolph,SP21,53,6,"['cv2', 'pyzbar.pyzbar', 'time', 'webbrowser', 'sys', 'my_module.functions']",64,450,5,1,3,5,5,1,SP21
SP21_C00_058,98.49,"Python, Java, Javascript, R, C/C++","Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs, Execute Python programs on your local computer, using notebooks and the command line, Describe and implement best practices in Python, keeping in mind that programming is done by and for humans",5.0,4.0,10.0,20.0,30.0,10.0,10.0,10.0,,,102.0,Bardolph,SP21,63,4,"['math', 'classes', 'sys', 'my_module.functions']",88,472,9,1,4,7,0,5,SP21
SP21_C00_059,88.4,I've never programmed before!,None of these,5.0,3.5,10.0,20.0,28.0,7.0,3.0,0.0,,,76.5,Bardolph,SP21,115,3,"['sys', 'my_module.functions', 'random']",11,84,9,1,2,2,0,2,SP21
SP21_C00_060,94.31,I have used MATLAB a little bit.,None of these,5.0,5.0,10.0,18.0,27.0,10.0,8.0,9.0,,,92.5,Bardolph,SP21,75,3,"['random', 'Deck', 'random']",25,107,5,0,3,9,5,5,SP21
SP21_C00_061,90.31,I've never programmed before!,None of these,5.0,4.0,9.0,13.5,30.0,7.5,10.0,7.0,,,86.0,Bardolph,SP21,140,3,"['random', 'sys', 'my_module.functions']",134,861,10,6,3,6,9,3,SP21
SP21_C00_062,96.83,Python,"Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs, Execute Python programs on your local computer, using notebooks and the command line, Describe and implement best practices in Python, keeping in mind that programming is done by and for humans",5.0,4.0,9.0,20.0,30.0,10.0,10.0,9.0,,,99.0,Bardolph,SP21,44,12,"['urllib.parse', 'urllib.request', 'astropy', 'astropy.io', 'astropy.coordinates', 'astropy.utils.data', 'IPython.display', 'astropy.coordinates', 'pandas', 'numpy', 'astropy.visualization', 'matplotlib.pyplot']",56,238,3,0,3,3,0,0,SP21
SP21_C00_063,93.57,I've never programmed before!,None of these,5.0,4.0,10.0,20.0,30.0,9.0,10.0,10.0,,,98.0,Bardolph,SP21,148,4,"['time', 'random', 'time', 'random']",142,1035,10,0,5,15,14,0,SP21
SP21_C00_064,101.19,Python,Program at an introductory level in the Python programming language,5.0,4.0,10.0,20.0,30.0,10.0,10.0,10.0,,,100.5,Bardolph,SP21,70,1,['math'],97,448,6,0,4,9,7,0,SP21
SP21_C00_065,98.52,"Python, Java","Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Describe and implement best practices in Python, keeping in mind that programming is done by and for humans",5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,103.0,Bardolph,SP21,187,13,"['sys', 'game_functions', 'csv', 'random', 'script_variables', 'choose_film', 'csv', 'script_variables', 'read_script', 'choose_film', 'csv', 'random', 'script_variables']",160,785,10,2,8,10,11,3,SP21
SP21_C00_066,99.5,,,5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,104.0,Bardolph,SP21,147,6,"['random', 'pandas', 'numpy', 'pandas', 'sys', 'my_module.functions']",137,735,13,2,8,19,13,3,SP21
SP21_C00_067,69.89,,,5.0,4.0,7.0,16.0,16.0,8.0,2.0,0.0,,,58.0,Bardolph,SP21,40,5,"['my_module.lists', 'my_module.lists', 'my_module.classes', 'sys', 'my_module.functions']",35,149,5,1,2,2,1,2,SP21
SP21_C00_068,93.64,Java,Solve basic problems using programmatic solutions,5.0,4.5,9.0,18.0,30.0,5.5,9.0,7.0,,,88.0,Bardolph,SP21,107,3,"['sys', 'my_module.functions', 'cryptMethods']",103,539,8,0,3,7,0,0,SP21
SP21_C00_069,80.26,I've never programmed before!,Solve basic problems using programmatic solutions,5.0,4.0,10.0,16.0,30.0,7.0,3.0,0.0,,,75.0,Bardolph,SP21,44,2,"['sys', 'my_module.functions']",13,104,3,0,2,2,3,0,SP21
SP21_C00_070,98.02,I've never programmed before!,None of these,5.0,4.0,10.0,20.0,30.0,9.0,10.0,10.0,,,102.0,Bardolph,SP21,186,6,"['time', 'sys', 'PIL', 'colorama', 'sys', 'my_module.functions']",59,457,12,0,3,8,10,3,SP21
SP21_C00_071,96.87,C/C++,"Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Solve basic problems using programmatic solutions, Write and debug small Python programs",5.0,5.0,10.0,20.0,30.0,10.0,0.0,9.0,,,91.0,Bardolph,SP21,110,1,['random'],2,12,8,1,2,12,3,10,SP21
SP21_C00_072,85.83,"Javascript, I took a class where we learned html and css",None of these,5.0,5.0,10.0,17.0,23.0,8.0,2.0,6.0,,,76.0,Bardolph,SP21,134,2,"['sys', 'my_module.functions']",26,335,3,0,3,9,12,0,SP21
SP21_C00_073,91.44,I've never programmed before!,None of these,5.0,5.0,10.0,18.0,30.0,8.5,7.0,7.0,,,90.5,Bardolph,SP21,69,3,"['my_module.classes', 'sys', 'my_module.functions']",82,488,5,1,3,9,3,1,SP21
SP21_C00_074,78.78,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,29.0,9.0,9.0,6.0,,,93.0,Bardolph,SP21,30,3,"['time', 'sys', 'my_module.functions']",66,398,4,1,3,3,3,1,SP21
SP21_C00_075,80.91,Java,Solve basic problems using programmatic solutions,5.0,4.5,10.0,20.0,28.0,10.0,9.5,8.0,,,95.0,Bardolph,SP21,117,4,"['random', 'time', 'sys', 'my_module.functions']",90,608,4,0,4,8,14,5,SP21
SP21_C00_076,98.91,the concepts in COGS 3,None of these,5.0,5.0,10.0,20.0,30.0,9.0,10.0,10.0,,,100.0,Bardolph,SP21,140,5,"['string', 'random', 'nltk', 'sys', 'my_module.functions']",196,1006,15,0,9,18,18,10,SP21
SP21_C00_077,97.52,"R, Worked with R and STATA for other courses before but basically never programmed before.",Solve basic problems using programmatic solutions,5.0,4.0,10.0,20.0,30.0,7.0,7.0,10.0,,,94.0,Bardolph,SP21,93,4,"['numpy', 'pandas', 'datetime', 'matplotlib.pyplot']",29,219,4,0,4,11,10,7,SP21
SP21_C00_078,88.95,I've never programmed before!,None of these,5.0,5.0,9.0,17.0,27.0,10.0,10.0,7.5,,,90.5,Bardolph,SP21,51,2,"['sys', 'my_module.functions']",70,485,5,0,3,9,6,0,SP21
SP21_C00_079,88.92,I've never programmed before!,"Program at an introductory level in the Python programming language, Read basic Python programs, recognizing the structures they use and be able to explain how they work, Write and debug small Python programs",,,,,,,,,,,,Bardolph,SP21,8,2,"['sys', 'my_module.functions']",9,55,2,0,2,2,0,0,SP21
SP21_C00_080,95.7,I've never programmed before!,None of these,5.0,4.5,10.0,20.0,30.0,8.5,10.0,8.5,,,96.5,Bardolph,SP21,39,5,"['random', 'secrets', 'string', 'sys', 'my_module.functions']",27,233,4,0,4,4,3,0,SP21
SP21_C00_081,96.48,I've never programmed before!,None of these,5.0,5.0,10.0,19.0,28.0,10.0,8.0,7.5,,,92.5,Bardolph,SP21,108,4,"['sys', 'my_module.functions', 'my_module.functions', 'my_module.functions']",63,518,3,0,3,8,2,2,SP21
SP21_C00_082,64.33,I've never programmed before!,None of these,5.0,4.0,0.0,19.0,30.0,10.0,0.0,4.0,,,72.0,Bardolph,SP21,21,2,"['sys', 'my_module.functions']",9,55,3,1,2,2,2,1,SP21
SP21_C00_083,87.68,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,28.0,6.0,3.0,7.5,,,84.5,Bardolph,SP21,35,2,"['sys', 'my_module.functions']",18,219,3,0,3,7,3,1,SP21
SP21_C00_084,96.46,I've never programmed before!,None of these,5.0,5.0,0.0,20.0,27.5,10.0,10.0,9.0,,,86.5,Bardolph,SP21,601,3,"['colorama', 'classes', 'colorama']",162,948,11,1,10,30,10,0,SP21
SP21_C00_085,99.87,Python,Write and debug small Python programs,5.0,5.0,10.0,20.0,29.0,9.5,10.0,9.5,,,98.0,Bardolph,SP21,124,11,"['sys', 'my_module.functions', 'modules', 'modules', 'numpy', 'pandas', 'math', 'numpy', 'pandas', 'math', 'functions']",134,521,16,1,5,13,6,4,SP21
SP21_C00_086,83.63,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,28.0,9.5,5.0,5.0,,,87.5,Bardolph,SP21,42,5,"['random', 'string', 'base64', 'sys', 'my_module.functions']",27,212,3,0,2,4,1,2,SP21
SP21_C00_087,83.03,I've never programmed before!,None of these,5.0,3.0,10.0,12.0,20.0,7.0,2.0,2.5,,,61.5,Bardolph,SP21,418,2,"['sys', 'my_module.functions']",51,293,28,14,1,2,0,0,SP21
SP21_C00_088,81.51,,,5.0,4.0,9.0,15.0,25.0,10.0,0.0,6.0,,,74.0,Bardolph,SP21,83,2,"['sys', 'my_module.functions']",8,57,10,1,3,6,1,1,SP21
SP21_C00_089,66.97,,,4.0,5.0,8.0,15.0,15.0,8.0,3.0,5.0,,,63.0,Bardolph,SP21,76,5,"['nltk', 'random', 'string', 'chatterbot', 'chatterbot.trainers']",41,330,12,0,0,49,7,1,SP21
SP21_C00_090,94.98,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,9.0,9.0,7.0,,,96.0,Bardolph,SP21,80,6,"['random', 'pandas', 'os', 'time', 'sys', 'my_module.functions']",73,373,7,2,3,3,3,1,SP21
SP21_C00_091,101.54,I've never programmed before!,None of these,5.0,5.0,10.0,20.0,30.0,10.0,10.0,10.0,,,100.0,Bardolph,SP21,141,2,"['math', 'time']",186,1171,12,0,5,15,8,0,SP21
SP21_C00_092,93.0,I've never programmed before!,None of these,5.0,3.0,10.0,20.0,25.0,10.0,10.0,9.0,,,92.0,Bardolph,SP21,47,2,"['sys', 'my_module.functions']",54,228,4,1,3,5,2,2,SP21
SP21_C00_093,89.54,I've never programmed before!,None of these,5.0,4.0,10.0,19.0,30.0,10.0,3.0,9.0,,,90.0,Bardolph,SP21,80,3,"['random', 'sys', 'my_module.functions']",34,302,3,1,3,10,3,1,SP21
SP21_C00_094,91.99,SQL,Solve basic problems using programmatic solutions,5.0,4.5,10.0,15.0,24.0,10.0,10.0,3.5,,,82.0,Bardolph,SP21,41,2,"['sys', 'my_module.functions']",11,77,2,0,2,4,7,0,SP21
